date,orders_count,revenue,canceled_orders,avg_order_value,revenue_items,revenue_payments
2018-05-21,206.0,30619.94,5.0,148.64,29665.97,30619.94
2018-05-22,199.0,32070.66,2.0,161.16,32070.68,32070.66
2018-05-23,132.0,20262.3,0.0,153.5,20262.29,20262.3
2018-05-24,114.0,22278.7,0.0,195.43,22274.67,22278.7
2018-05-25,104.0,18286.32,1.0,175.83,18137.37,18286.32
2018-05-26,99.0,16914.09,0.0,170.85,16914.09,16914.09
2018-05-27,100.0,14693.68,0.0,146.94,14693.68,14693.68
2018-05-28,143.0,30304.95,1.0,211.92,30304.95,30304.95
2018-05-29,149.0,29441.33,0.0,197.59,29430.63,29441.33
2018-05-30,140.0,22529.07,0.0,160.92,22529.08,22529.07
2018-05-31,133.0,28156.52,0.0,211.7,28156.52,28156.52
2018-06-01,184.0,37284.05,0.0,202.63,37282.67,37284.05
2018-06-02,142.0,28939.99,0.0,203.8,28939.989999999998,28939.99
2018-06-03,192.0,33024.44,1.0,172.0,32869.9,33024.44
2018-06-04,225.0,34326.4,0.0,152.56,34326.4,34326.4
2018-06-05,200.0,36471.22,3.0,182.36,36101.72,36471.22
2018-06-06,227.0,32176.98,0.0,141.75,32176.98,32176.98
2018-06-07,223.0,42676.38,0.0,191.37,42676.38,42676.38
2018-06-08,198.0,31797.2,0.0,160.59,31797.2,31797.2
2018-06-09,172.0,34033.78,0.0,197.87,34033.77,34033.78
2018-06-10,193.0,30295.41,2.0,156.97,30288.25,30295.41
2018-06-11,294.0,57345.56,0.0,195.05,57313.28,57345.56
2018-06-12,246.0,46762.43,0.0,190.09,46762.43,46762.43
2018-06-13,259.0,41586.61,1.0,160.57,41586.63,41586.61
2018-06-14,212.0,32707.21,0.0,154.28,32707.21,32707.21
2018-06-15,186.0,31498.76,1.0,169.35,31498.76,31498.76
2018-06-16,165.0,29000.08,0.0,175.76,29000.08,29000.08
2018-06-17,152.0,20751.52,0.0,136.52,20751.52,20751.52
2018-06-18,246.0,41027.07,1.0,166.78,41023.4,41027.07
2018-06-19,231.0,40013.6,2.0,173.22,40013.6,40013.6
2018-06-20,217.0,34330.26,1.0,158.2,34330.27,34330.26
2018-06-21,234.0,33301.99,0.0,142.32,33301.99,33301.99
2018-06-22,179.0,28753.15,0.0,160.63,28753.16,28753.15
2018-06-23,151.0,21181.11,1.0,140.27,21181.11,21181.11
2018-06-24,199.0,29498.57,1.0,148.23,29498.58,29498.57
2018-06-25,241.0,42008.02,2.0,174.31,41879.92,42008.02
2018-06-26,243.0,37673.67,3.0,155.04,37616.54,37673.67
2018-06-27,215.0,32920.9,1.0,153.12,32505.93,32920.9
2018-06-28,243.0,38773.74,1.0,159.56,38739.05,38773.74
2018-06-29,174.0,25098.69,1.0,144.25,25098.69,25098.69
2018-06-30,124.0,18621.71,0.0,150.18,18621.7,18621.71
2018-07-01,161.0,29060.7,0.0,180.5,29060.7,29060.7
2018-07-02,195.0,29422.43,2.0,150.88,29422.43,29422.43
2018-07-03,216.0,31454.6,1.0,145.62,31454.6,31454.6
2018-07-04,256.0,41579.8,2.0,162.42,41579.8,41579.8
2018-07-05,195.0,33949.5,1.0,174.1,33949.48,33949.5
2018-07-06,121.0,22108.67,0.0,182.72,22108.67,22108.67
2018-07-07,91.0,11277.24,0.0,123.93,11277.24,11277.24
2018-07-08,122.0,17554.72,2.0,143.89,17554.74,17554.72
2018-07-09,148.0,23122.17,0.0,156.23,23122.17,23122.17
2018-07-10,134.0,22694.45,2.0,169.36,22246.77,22694.45
2018-07-11,127.0,22148.64,1.0,174.4,22140.62,22148.64
2018-07-12,124.0,35228.7,6.0,284.1,32569.71,35228.7
2018-07-13,168.0,32635.24,1.0,194.26,32529.4,32635.24
2018-07-14,148.0,26427.02,2.0,178.56,26427.02,26427.02
2018-07-15,152.0,34489.4,1.0,226.9,34489.4,34489.4
2018-07-16,245.0,37854.659999999996,2.0,154.51,37778.13,37854.659999999996
2018-07-17,221.0,35758.42,2.0,161.8,35758.41,35758.42
2018-07-18,307.0,51392.43,2.0,167.4,48984.15,51392.43
2018-07-19,253.0,44911.25,0.0,177.51,44911.24,44911.25
2018-07-20,250.0,38131.01,3.0,152.52,38061.85,38131.01
2018-07-21,187.0,25508.97,2.0,136.41,25502.08,25508.97
2018-07-22,215.0,32962.26,1.0,153.31,32962.26,32962.26
2018-07-23,307.0,48104.33,3.0,156.69,47975.62,48104.33
2018-07-24,271.0,48154.03,1.0,177.69,48083.44,48154.03
2018-07-25,268.0,47917.71,1.0,178.8,47912.59,47917.71
2018-07-26,247.0,41784.74,2.0,169.17,41784.72,41784.74
2018-07-27,189.0,33331.12,0.0,176.36,33331.13,33331.12
2018-07-28,176.0,30168.170000000002,1.0,171.41,30065.12,30168.170000000002
2018-07-29,188.0,36468.26,4.0,193.98,36468.28,36468.26
2018-07-30,288.0,46288.01,8.0,160.72,45814.02,46288.01
2018-07-31,322.0,54652.1,6.0,169.73,53402.24,54652.1
2018-08-01,311.0,48850.81,3.0,157.08,48431.03,48850.81
2018-08-02,302.0,45932.7,4.0,152.1,45625.66,45932.7
2018-08-03,314.0,49517.59,2.0,157.7,49517.58,49517.59
2018-08-04,245.0,41239.97,3.0,168.33,41227.8,41239.97
2018-08-05,276.0,42272.07,2.0,153.16,42272.07,42272.07
2018-08-06,372.0,65860.43,4.0,177.04,65860.42,65860.43
2018-08-07,370.0,62057.77,9.0,167.72,58294.38,62057.77
2018-08-08,316.0,51463.76,2.0,162.86,51360.5,51463.76
2018-08-09,289.0,47261.68,6.0,163.54,46734.86,47261.68
2018-08-10,256.0,40690.26,4.0,158.95,39585.29,40690.26
2018-08-11,188.0,31277.25,2.0,166.37,30565.73,31277.25
2018-08-12,197.0,36739.75,0.0,186.5,36739.75,36739.75
2018-08-13,292.0,48163.76,5.0,164.94,45876.91,48163.76
2018-08-14,316.0,51574.67,4.0,163.21,51471.37,51574.67
2018-08-15,288.0,53322.7,5.0,185.15,52358.65,53322.7
2018-08-16,320.0,42581.08,4.0,133.07,42217.31,42581.08
2018-08-17,257.0,40872.77,3.0,159.04,37638.99,40872.77
2018-08-18,198.0,29695.07,2.0,149.98,28698.1,29695.07
2018-08-19,204.0,29989.35,0.0,147.01,29966.5,29989.35
2018-08-20,256.0,40352.47,4.0,157.63,39851.87,40352.47
2018-08-21,243.0,31479.9,4.0,129.55,30830.69,31479.9
2018-08-22,187.0,24401.84,1.0,130.49,24262.61,24401.84
2018-08-23,144.0,19737.72,2.0,137.07,19540.56,19737.72
2018-08-24,99.0,11450.76,2.0,115.66,11313.39,11450.76
2018-08-25,69.0,11737.76,0.0,170.11,11737.76,11737.76
2018-08-26,73.0,9304.0,0.0,127.45,9333.16,9304.0
2018-08-27,67.0,6229.95,1.0,92.98,6111.61,6229.95
2018-08-28,44.0,5216.72,5.0,118.56,4121.22,5216.72
2018-08-29,14.0,2381.83,3.0,170.13,1762.7,2381.83
2018-08-30,4.0,705.04,4.0,176.26,0.0,705.04
2018-08-31,1.0,63.89,1.0,63.89,0.0,63.89
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-02,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-03,4.0,458.64,3.0,114.66,166.46,458.64
2018-09-04,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-06,3.0,2443.2000000000003,3.0,814.4,0.0,2443.2000000000003
2018-09-07,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-08,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-09,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-10,1.0,51.17,1.0,51.17,0.0,51.17
2018-09-11,1.0,258.67,1.0,258.67,0.0,258.67
2018-09-12,1.0,84.58,1.0,84.58,0.0,84.58
2018-09-13,1.0,414.04,1.0,414.04,0.0,414.04
2018-09-14,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-15,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-16,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-17,1.0,84.58,1.0,84.58,0.0,84.58
2018-09-18,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-19,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-20,1.0,191.46,1.0,191.46,0.0,191.46
2018-09-21,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-22,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-23,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-24,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-25,1.0,221.54,1.0,221.54,0.0,221.54
2018-09-26,1.0,94.63,1.0,94.63,0.0,94.63
2018-09-27,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-28,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-29,1.0,137.03,1.0,137.03,0.0,137.03
2018-09-30,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,1.0,80.38,1.0,80.38,0.0,80.38
2018-10-02,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-03,1.0,197.55,1.0,197.55,0.0,197.55
2018-10-04,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-05,0.0,0.0,0.0,0.0,0.0,0.0
